Product_Name,Price_BDT,Location,Product_Link,Price_Numeric,Product_Name_Short
"iTag Apple Find My Network Anti-Loss Device - Wiwu WT01 iPhone Location Tracker for Wallet, Keys, Bag & Pet - Real-time Global Positioning S & Left Behind Alerts, Long Battery, - Honestime Warranty 6 Month","৳ 1,199",Dhaka,https://www.daraz.com.bd/products/apple-wiwu-wt01-iphone-s-hon-6-i343836549.html,1199.0,iTag Apple Find My Network Anti-Loss Device - Wiwu WT01 iPhone Location Tracker 
"01 pcs Travel Mobile Electronics Gadget Bag Travel Organizer USB Cable Organizer power bank, mobile phone, Wires, Hard Drive, Pendrive",৳ 375,Chattogram,https://www.daraz.com.bd/products/01-usb-i277075676.html,375.0,01 pcs Travel Mobile Electronics Gadget Bag Travel Organizer USB Cable Organizer
RAISA Multifunctional Cleaning Kit Clean Your Electronics with Ease Keyboard and Earphone Cleaning Tools with Keycap Puller 7in 1,৳ 225,Dhaka,https://www.daraz.com.bd/products/raisa-7in-1-i324101145.html,225.0,RAISA Multifunctional Cleaning Kit Clean Your Electronics with Ease Keyboard and
Travel Gadget Cable Storage Bag Organizer Digital Electronic Organizer Portable USB Data Line Charger Plug Power Bank Mobile Storage Bag,৳ 599,Chattogram,https://www.daraz.com.bd/products/usb-i327744729.html,599.0,Travel Gadget Cable Storage Bag Organizer Digital Electronic Organizer Portable 
"ইজি বাইক এলার্ম ডিভাইস , Easy Bike alarm Device , 36-72 volts, Electric Scooter Spare Parts Accessories",৳ 650,Rajshahi,https://www.daraz.com.bd/products/36-72-i522810591.html,650.0,"ইজি বাইক এলার্ম ডিভাইস , Easy Bike alarm Device , 36-72 volts, Electric Scooter "
Quan Sheng UV-K6 Handheld Intercom UVK6 Radio K6 One-key Frequency Matching in Chinese. Youth Green with Large Memory K5 Upgrade.,"৳ 12,403",Overseas,https://www.daraz.com.bd/products/quan-sheng-uv-k6-uvk6-k6-k5-i531460569.html,12403.0,Quan Sheng UV-K6 Handheld Intercom UVK6 Radio K6 One-key Frequency Matching in C
Beige closet 18650 Power Bank Shell 5V 5600mAh USB Charger Battery Holder Case for Phone Electronic Charging Portable DIY Mobile Storage Box,৳ 120,Mymensingh,https://www.daraz.com.bd/products/diy-18650-5v-5600mah-usb-i332872936.html,120.0,Beige closet 18650 Power Bank Shell 5V 5600mAh USB Charger Battery Holder Case f
Type-C Electronic Cigarette Zippo Other Cigar Jet Lighter Smoking Accessories USB Luxury Rechargeable Lighter,৳ 299,Dhaka,https://www.daraz.com.bd/products/usb-i534612747.html,299.0,Type-C Electronic Cigarette Zippo Other Cigar Jet Lighter Smoking Accessories US
0.28 Inch 2.5v-30v mini digital voltmeter voltage tester meter led screen electronic parts accessories digital voltmeter,৳ 89,Dhaka,https://www.daraz.com.bd/products/028-25v-30v-led-i188860559.html,89.0,0.28 Inch 2.5v-30v mini digital voltmeter voltage tester meter led screen electr
0.28 Inch 2.5v-30v mini digital voltmeter voltage tester meter led screen electronic parts accessories digital voltmeter,৳ 95,Dhaka,https://www.daraz.com.bd/products/028-25v-30v-led-i145560996.html,95.0,0.28 Inch 2.5v-30v mini digital voltmeter voltage tester meter led screen electr
【3C VictoryEagle】Storage Bag Electronic Accessories Travel Organizer Bag Hard Drive Organizers USB Flash SD Card Travel Case,"৳ 1,903",Overseas,https://www.daraz.com.bd/products/3c-victoryagle-usb-sd-i342265783.html,1903.0,【3C VictoryEagle】Storage Bag Electronic Accessories Travel Organizer Bag Hard Dr
Mini digital voltmeter voltage tester meter led screen electronic parts accessories,৳ 115,Chattogram,https://www.daraz.com.bd/products/led-i193424655.html,115.0,Mini digital voltmeter voltage tester meter led screen electronic parts accessor
Digital Arm Blood Pressure Monitor Electronic,৳ 850,Dhaka,https://www.daraz.com.bd/products/-i498033479.html,850.0,Digital Arm Blood Pressure Monitor Electronic
Intelligent Voltage Tester Pen,৳ 199,Rangpur,https://www.daraz.com.bd/products/-i501294446.html,199.0,Intelligent Voltage Tester Pen
Pair Percussion Accessories Rubber Handle Drumsticks Classic High Quality Drum Sticks 40CM Drum Brushes Electronic Drum,৳ 625,Overseas,https://www.daraz.com.bd/products/pair-percussion-accessories-rubber-handle-drumsticks-classic-high-quality-drum-sticks-40cm-drum-brushes-electronic-drum-i453320333.html,625.0,Pair Percussion Accessories Rubber Handle Drumsticks Classic High Quality Drum S
Electronic Fault Finder Cable Continuity Tester Connection Checker Electronic Joint Checker With LED Indicator For Electronics Project Works,৳ 139,Dhaka,https://www.daraz.com.bd/products/electronic-fault-finder-cable-continuity-tester-connection-checker-electronic-joint-checker-with-led-indicator-for-electronics-project-works-i328297822.html,139.0,Electronic Fault Finder Cable Continuity Tester Connection Checker Electronic Jo
360 Degree Rearview Mirror Car Phone Holder,৳ 590,Dhaka,https://www.daraz.com.bd/products/360-i531238558.html,590.0,360 Degree Rearview Mirror Car Phone Holder
Versatile -Travel Men women Custom Logo Gadget Digital Electronic Accessories Storage USB Cable Organizer Bag- Avant-garde,৳ 299,Chattogram,https://www.daraz.com.bd/products/versatile-travel-men-women-custom-logo-gadget-digital-electronic-accessories-storage-usb-cable-organizer-bag-avant-garde-i321955351.html,299.0,Versatile -Travel Men women Custom Logo Gadget Digital Electronic Accessories St
High Quality Electronic LCD Time Display Alarm Clock Lightweight Small Desk Clocks Mirror Screen Household Accessories,৳ 389,Dhaka,https://www.daraz.com.bd/products/lcd-i274994238.html,389.0,High Quality Electronic LCD Time Display Alarm Clock Lightweight Small Desk Cloc
